Note,Original Frequency (Hz),Radius (r),Theta (rad),Height (z),Recovered Frequency (Hz)
C,440.0,0.0,0.0,0,440.0
C,440.0,0.0,0.0,0,440.0
G,659.2551138257398,0.4043358553266348,3.665191429188092,0,659.2551138257398
G,659.2551138257398,0.4043358553266348,3.665191429188092,0,659.2551138257398
A,739.9888454232688,0.5198603854199589,4.1887902047863905,0,739.9888454232688
A,739.9888454232688,0.5198603854199589,4.1887902047863905,0,739.9888454232688
G,659.2551138257398,0.4043358553266348,3.665191429188092,0,659.2551138257398
F,587.3295358348151,0.28881132523331055,2.6179938779914944,0,587.3295358348151
F,587.3295358348151,0.28881132523331055,2.6179938779914944,0,587.3295358348151
E,554.3652619537442,0.23104906018664828,1.5707963267948966,0,554.3652619537442
E,554.3652619537442,0.23104906018664828,1.5707963267948966,0,554.3652619537442
D,493.8833012561241,0.11552453009332425,1.0471975511965976,0,493.8833012561241
D,493.8833012561241,0.11552453009332425,1.0471975511965976,0,493.8833012561241
C,440.0,0.0,0.0,0,440.0
G,659.2551138257398,0.4043358553266348,3.665191429188092,0,659.2551138257398
G,659.2551138257398,0.4043358553266348,3.665191429188092,0,659.2551138257398
F,587.3295358348151,0.28881132523331055,2.6179938779914944,0,587.3295358348151
F,587.3295358348151,0.28881132523331055,2.6179938779914944,0,587.3295358348151
E,554.3652619537442,0.23104906018664828,1.5707963267948966,0,554.3652619537442
E,554.3652619537442,0.23104906018664828,1.5707963267948966,0,554.3652619537442
D,493.8833012561241,0.11552453009332425,1.0471975511965976,0,493.8833012561241
G,659.2551138257398,0.4043358553266348,3.665191429188092,0,659.2551138257398
G,659.2551138257398,0.4043358553266348,3.665191429188092,0,659.2551138257398
F,587.3295358348151,0.28881132523331055,2.6179938779914944,0,587.3295358348151
F,587.3295358348151,0.28881132523331055,2.6179938779914944,0,587.3295358348151
E,554.3652619537442,0.23104906018664828,1.5707963267948966,0,554.3652619537442
E,554.3652619537442,0.23104906018664828,1.5707963267948966,0,554.3652619537442
D,493.8833012561241,0.11552453009332425,1.0471975511965976,0,493.8833012561241
C,440.0,0.0,0.0,0,440.0
C,440.0,0.0,0.0,0,440.0
G,659.2551138257398,0.4043358553266348,3.665191429188092,0,659.2551138257398
G,659.2551138257398,0.4043358553266348,3.665191429188092,0,659.2551138257398
A,739.9888454232688,0.5198603854199589,4.1887902047863905,0,739.9888454232688
A,739.9888454232688,0.5198603854199589,4.1887902047863905,0,739.9888454232688
G,659.2551138257398,0.4043358553266348,3.665191429188092,0,659.2551138257398
F,587.3295358348151,0.28881132523331055,2.6179938779914944,0,587.3295358348151
F,587.3295358348151,0.28881132523331055,2.6179938779914944,0,587.3295358348151
E,554.3652619537442,0.23104906018664828,1.5707963267948966,0,554.3652619537442
E,554.3652619537442,0.23104906018664828,1.5707963267948966,0,554.3652619537442
D,493.8833012561241,0.11552453009332425,1.0471975511965976,0,493.8833012561241
D,493.8833012561241,0.11552453009332425,1.0471975511965976,0,493.8833012561241
C,440.0,0.0,0.0,0,440.0
